date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:26:04	40567/40567	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:52:01%20GMT	http://graphicfort.com/templates/plume/header-13.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/header-13.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:05	40577/40577	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:52:01%20GMT	http://graphicfort.com/templates/plume/header-14.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/header-14.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:06	38267/38267	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:10%20GMT	http://graphicfort.com/templates/plume/page-title-large-parallax-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-large-parallax-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:07	38213/38213	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:07%20GMT	http://graphicfort.com/templates/plume/page-title-large-grey-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-large-grey-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:08	38218/38218	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:13%20GMT	http://graphicfort.com/templates/plume/page-title-large-white-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-large-white-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:09	38227/38227	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:10%20GMT	http://graphicfort.com/templates/plume/page-title-large-main-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-large-main-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:10	38229/38229	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:06%20GMT	http://graphicfort.com/templates/plume/page-title-large-black-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-large-black-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:11	38197/38197	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:19%20GMT	http://graphicfort.com/templates/plume/page-title-medium-1-parallax-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-medium-1-parallax-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:12	38129/38129	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:16%20GMT	http://graphicfort.com/templates/plume/page-title-medium-1-grey-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-medium-1-grey-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:13	38130/38130	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:20%20GMT	http://graphicfort.com/templates/plume/page-title-medium-1-white-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-medium-1-white-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:14	38140/38140	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:17%20GMT	http://graphicfort.com/templates/plume/page-title-medium-1-main-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-medium-1-main-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:15	38141/38141	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:13%20GMT	http://graphicfort.com/templates/plume/page-title-medium-1-black-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-medium-1-black-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:16	38042/38042	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:26%20GMT	http://graphicfort.com/templates/plume/page-title-medium-2-parallax-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-medium-2-parallax-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:17	37976/37976	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:23%20GMT	http://graphicfort.com/templates/plume/page-title-medium-2-grey-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-medium-2-grey-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:18	37979/37979	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:28%20GMT	http://graphicfort.com/templates/plume/page-title-medium-2-white-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-medium-2-white-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:19	37990/37990	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:54:25%20GMT	http://graphicfort.com/templates/plume/page-title-medium-2-main-background.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/page-title-medium-2-main-background.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
